Date,Total_Rainfall,ANOM,Flood_Height_Max,Temperature,Dew Point,Humidity,Wind Speed,Pressure
8/1/2002,0.5,0.81,0,83.500,73.500,73.208,3.783,29.633
8/2/2002,46,0.81,0,82.667,75.417,80.375,7.273,29.653
8/3/2002,23,0.81,0,81.958,74.250,78.833,6.042,29.679
8/4/2002,9.5,0.81,0,82.792,73.000,73.458,5.750,29.676
8/5/2002,1.5,0.81,0,81.708,74.125,79.500,6.348,29.698
8/6/2002,30,0.81,0,81.625,72.875,76.375,5.875,29.725
8/7/2002,0,0.81,0,83.208,74.583,76.625,3.550,29.715
8/8/2002,0,0.81,0,84.000,73.917,73.167,4.895,29.700
8/9/2002,2.5,0.81,0,82.917,73.167,72.750,6.708,29.704
8/10/2002,165.5,0.81,0,83.833,72.292,68.333,8.583,29.723
8/11/2002,14.5,0.81,0,83.000,71.625,69.333,9.708,29.740
8/12/2002,23.1,0.81,0,79.083,73.042,81.833,9.042,29.730
8/13/2002,0.7,0.81,0,78.708,73.292,84.542,10.375,29.690
8/14/2002,10,0.81,0,82.160,71.720,72.120,11.640,29.664
8/15/2002,0,0.81,0,84.458,70.333,63.583,11.250,29.605
8/16/2002,0,0.81,0,83.667,68.125,61.375,10.583,29.608
8/17/2002,0,0.81,0,84.292,70.125,63.708,8.250,29.618
8/18/2002,0,0.81,0,84.167,72.333,69.458,4.958,29.633
8/19/2002,0,0.81,0,84.917,74.792,73.042,4.526,29.674
8/20/2002,0,0.81,0,85.167,75.042,73.583,4.524,29.694
8/21/2002,0,0.81,0,81.714,73.619,77.571,7.143,29.706
8/22/2002,15,0.81,0,84.960,72.080,66.880,5.292,29.709
8/23/2002,3.5,0.81,0,84.125,75.167,75.458,5.304,29.719
8/24/2002,3.8,0.81,0,81.542,75.292,82.667,5.391,29.748
8/25/2002,3,0.81,0,78.680,73.080,84.240,5.250,29.755
8/26/2002,0,0.81,0,82.417,73.500,76.000,4.421,29.716
8/27/2002,0,0.81,0,81.792,73.917,78.417,5.091,29.706
8/28/2002,10,0.81,0,81.958,73.833,78.042,4.500,29.719
8/29/2002,23.8,0.81,0,78.333,74.083,88.458,7.000,29.746
8/30/2002,0,0.81,0,82.167,73.083,74.417,7.478,29.705
8/31/2002,13,0.81,0,81.500,75.042,81.792,4.783,29.701
9/1/2002,21.5,1.01,0,80.667,74.875,83.958,4.083,29.734
9/2/2002,1,1.01,0,83.000,73.917,75.500,4.739,29.756
9/3/2002,0,1.01,0,83.833,74.542,75.000,4.238,29.726
9/4/2002,0,1.01,0,84.417,74.625,73.542,4.773,29.708
9/5/2002,28.8,1.01,0,82.375,73.875,76.792,6.000,29.713
9/6/2002,0,1.01,0,82.542,73.208,75.125,6.250,29.700
9/7/2002,0,1.01,0,83.750,72.583,69.625,5.542,29.661
9/8/2002,8.5,1.01,0,84.333,74.917,74.083,5.042,29.675
9/9/2002,15.5,1.01,0,80.667,73.667,80.625,7.565,29.709
9/10/2002,6.8,1.01,0,81.278,74.889,82.222,3.706,29.720
9/11/2002,1.5,1.01,0,82.500,74.833,78.750,5.609,29.733
9/12/2002,4.5,1.01,0,79.958,73.000,79.708,6.542,29.786
9/13/2002,0.5,1.01,0,83.280,74.680,76.640,4.500,29.784
9/14/2002,1,1.01,0,81.542,72.792,75.458,4.762,29.795
9/15/2002,5.3,1.01,0,83.375,73.583,73.500,6.632,29.783
9/16/2002,4.5,1.01,0,82.625,73.583,75.500,6.833,29.774
9/17/2002,6.3,1.01,0,82.440,74.800,78.640,5.056,29.736
9/18/2002,20.8,1.01,0,80.304,73.870,81.913,5.190,29.745
9/19/2002,0,1.01,0,82.167,74.333,78.375,4.857,29.745
9/20/2002,11,1.01,0,83.125,74.583,76.708,4.222,29.724
9/21/2002,25,1.01,0,82.792,74.417,77.458,5.375,29.701
9/22/2002,52,1.01,0,82.520,73.360,75.240,6.348,29.712
9/23/2002,3.5,1.01,0,81.417,73.583,78.042,3.818,29.713
9/24/2002,1.5,1.01,0,80.720,74.760,83.400,6.476,29.751
9/25/2002,6.5,1.01,0,81.667,74.500,80.000,6.292,29.766
9/26/2002,0,1.01,0,83.958,74.833,75.125,5.667,29.709
9/27/2002,0,1.01,0,84.667,75.625,75.375,6.435,29.670
9/28/2002,20,1.01,0,80.958,74.667,82.458,8.000,29.714
9/29/2002,16.3,1.01,0,81.250,72.875,76.792,7.458,29.735
9/30/2002,0.5,1.01,0,80.292,73.667,81.875,6.000,29.743
10/1/2002,18,1.2,0,82.500,72.875,73.417,6.250,29.726
10/2/2002,0.5,1.2,0,83.458,73.875,74.417,5.682,29.695
10/3/2002,12.5,1.2,0,82.958,75.042,78.292,4.500,29.680
10/4/2002,88.6,1.2,0,80.000,76.040,88.640,4.792,29.686
10/5/2002,40.5,1.2,0,82.458,75.583,80.750,4.333,29.670
10/6/2002,63.5,1.2,0,77.250,74.000,90.875,3.773,29.698
10/7/2002,0,1.2,0,82.083,73.958,77.958,4.450,29.699
10/8/2002,59,1.2,0,82.542,74.583,78.375,5.783,29.719
10/9/2002,174,1.2,0,83.417,75.000,76.875,6.208,29.709
10/10/2002,44.5,1.2,0,80.208,75.000,85.333,9.083,29.739
10/11/2002,0,1.2,0,83.417,74.625,75.750,8.792,29.685
10/12/2002,81,1.2,0,80.708,74.333,81.917,7.957,29.704
10/13/2002,8.5,1.2,0,81.087,74.696,81.826,5.789,29.724
10/14/2002,0,1.2,0,82.708,75.167,79.042,4.188,29.716
10/15/2002,18.5,1.2,0,83.750,74.875,76.208,5.636,29.735
10/16/2002,0,1.2,0,78.714,75.571,91.238,4.500,29.751
10/17/2002,2,1.2,0,82.905,75.810,80.190,3.778,29.729
10/18/2002,3.5,1.2,0,83.583,74.833,76.292,5.864,29.694
10/19/2002,0,1.2,0,83.250,75.333,78.208,5.083,29.696
